,address,price,beds,baths,size,city,state,zipcode
0,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
1,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
2,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
3,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
4,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
5,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
6,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
7,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
8,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
9,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
10,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
11,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
12,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
13,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
14,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
15,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
16,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
17,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
18,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
19,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
20,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
21,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
22,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
23,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
24,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
25,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
26,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
27,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
28,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
29,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
30,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
31,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
32,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
33,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
34,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
35,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
36,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
37,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
38,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
39,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
40,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
41,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
42,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
43,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
44,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
45,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
46,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
47,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
48,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
49,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
50,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
51,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
52,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
53,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
54,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
55,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
56,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
57,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
58,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
59,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
60,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
61,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
62,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
63,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
64,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
65,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
66,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
